hed__Contact__c,mor_Attendance_Score__c,IP_Grade_Average__c,mor_Total_Activity_Time__c,Participations_Level__c,Page_Views_Level__c,hed__Course_Offering__c,Prerequisite_Course_Connection__c
0034K00000BAy3NQAT,100.0,85.23,304329.0,2.0,2.0,a0R4K000001z16cUAA,a0P4K000001Lv0BUAS
0034K00000B8gOFQAZ,100.0,72.73,257004.0,2.0,2.0,a0R4K000001z16cUAA,a0P4K000001Lv0EUAS
0034K00000B8gO6QAJ,100.0,67.045,154144.0,3.0,2.0,a0R4K000001z16cUAA,a0P4K000001Lv0IUAS
0034K00000AAqLlQAL,100.0,77.27,51168.0,3.0,2.0,a0R4K000001z16cUAA,
0034K00000BAy3eQAD,100.0,43.18,122175.0,3.0,3.0,a0R4K000001z16cUAA,a0P4K000001Lv0LUAS
0034K00000AApoWQAT,100.0,0.0,216729.0,1.0,1.0,a0R4K000001z16cUAA,a0P4K000001Lv0MUAS
0034K00000B8gNsQAJ,100.0,85.23,242293.0,2.0,2.0,a0R4K000001z16cUAA,a0P4K000001Lv0OUAS
0034K00000I6xHHQAZ,100.0,0.0,0.0,0.0,0.0,a0R4K000001z16cUAA,
0034K00000B8gOIQAZ,100.0,79.545,451808.0,3.0,3.0,a0R4K000001z16cUAA,a0P4K000001Lv0PUAS
0034K00000I8Q8EQAV,100.0,70.455,359013.0,3.0,2.0,a0R4K000001z16cUAA,a0P4K000001Lv0XUAS
0034K00000B8gNyQAJ,100.0,42.045,726151.0,2.0,2.0,a0R4K000001z16cUAA,a0P4K000001Lv0YUAS
0034K00000BBEtyQAH,100.0,88.64,215774.0,3.0,3.0,a0R4K000001z16cUAA,a0P4K000001Lv0ZUAS
0034K00000AAqLcQAL,100.0,0.0,132575.0,0.0,1.0,a0R4K000001z16cUAA,a0P4K000001Lv0fUAC
0034K00000AAheMQAT,100.0,0.0,271077.0,3.0,1.0,a0R4K000001z16cUAA,a0P4K000001Lv0hUAC
0034K00000B8gO2QAJ,100.0,93.18,291706.0,2.0,2.0,a0R4K000001z16cUAA,a0P4K000001Lv0iUAC
0034K00000B8gO9QAJ,100.0,80.685,290529.0,2.0,3.0,a0R4K000001z16cUAA,a0P4K000001Lv0jUAC
0034K00000AAp6EQAT,100.0,87.5,314820.0,2.0,2.0,a0R4K000001z16cUAA,a0P4K000001Lv0kUAC
0034K00000BBF3vQAH,100.0,50.0,712645.0,2.0,3.0,a0R4K000001z16cUAA,a0P4K000001Lv0lUAC
0034K00000B8gOYQAZ,100.0,57.955,263315.0,2.0,3.0,a0R4K000001z16cUAA,a0P4K000001Lv0nUAC
0034K00000B8gOWQAZ,100.0,92.045,391849.0,2.0,3.0,a0R4K000001z16cUAA,a0P4K000001Lv0pUAC
0034K00000BAy31QAD,100.0,80.68,436272.0,2.0,2.0,a0R4K000001z16cUAA,a0P4K000001Lv0rUAC
0034K00000B8gOXQAZ,100.0,0.0,517821.0,2.0,1.0,a0R4K000001z16cUAA,a0P4K000001Lv0sUAC
0034K00000B8gOkQAJ,100.0,92.045,98437.0,3.0,2.0,a0R4K000001z16cUAA,a0P4K000001Lv0tUAC
0034K00000B8gOKQAZ,100.0,73.865,227428.0,2.0,2.0,a0R4K000001z16cUAA,a0P4K000001Lv0wUAC
0034K00000BBPB8QAP,100.0,38.635,312232.0,1.0,2.0,a0R4K000001z16cUAA,a0P4K000001LwwpUAC
0034K00000B8gO0QAJ,100.0,1.135,190569.0,2.0,2.0,a0R4K000001z16cUAA,a0P4K000001Lv0zUAC
0034K00000BBF3uQAH,100.0,90.91,930217.0,3.0,3.0,a0R4K000001z16cUAA,a0P4K000001Lv10UAC
0034K00000BAy3XQAT,100.0,93.18,275661.0,2.0,2.0,a0R4K000001z16cUAA,a0P4K000001Lv12UAC
0034K00000B8gOmQAJ,100.0,93.18,541689.0,2.0,2.0,a0R4K000001z16cUAA,a0P4K000001Lv14UAC
0034K00000B8gOfQAJ,100.0,71.595,87981.0,2.0,2.0,a0R4K000001z16cUAA,a0P4K000001Lv15UAC
0034K00000BAy3DQAT,100.0,90.905,191180.0,2.0,1.0,a0R4K000001z16cUAA,a0P4K000001Lv16UAC
0034K00000B8gOHQAZ,100.0,88.635,537815.0,3.0,2.0,a0R4K000001z16cUAA,a0P4K000001Lv19UAC
0034K00000B8gO8QAJ,100.0,73.865,194439.0,3.0,1.0,a0R4K000001z16cUAA,a0P4K000001Lv1AUAS
0034K00000B8gOTQAZ,100.0,72.725,453527.0,2.0,1.0,a0R4K000001z16cUAA,a0P4K000001Lv1BUAS
0034K00000B8gO4QAJ,100.0,75.0,406664.0,3.0,3.0,a0R4K000001z16cUAA,a0P4K000001Lv1CUAS
0034K00000B8gOBQAZ,100.0,73.865,677184.0,2.0,3.0,a0R4K000001z16cUAA,a0P4K000001Lv1DUAS
0034K00000B8gOiQAJ,100.0,72.725,275548.0,2.0,2.0,a0R4K000001z16cUAA,a0P4K000001Lv1IUAS
0034K00000B8gOVQAZ,100.0,52.275,50436.0,2.0,1.0,a0R4K000001z16cUAA,a0P4K000001Lv1KUAS
0034K00000B8gNxQAJ,100.0,61.365,154821.0,3.0,2.0,a0R4K000001z16cUAA,a0P4K000001Lv1LUAS
0034K00000B8gNoQAJ,100.0,67.045,78511.0,2.0,1.0,a0R4K000001z16cUAA,a0P4K000001Lv1PUAS
0034K00000BBF49QAH,100.0,72.725,216163.0,2.0,2.0,a0R4K000001z16cUAA,a0P4K000001Lv1SUAS
